learner_id,class_id,ability_band,synthetic_ability,data_origin
learner_0085,class_01,mid,-0.280402,deterministic_synthetic
learner_0086,class_01,mid,-0.262312,deterministic_synthetic
learner_0087,class_01,mid,-0.244221,deterministic_synthetic
learner_0088,class_01,mid,-0.226131,deterministic_synthetic
learner_0089,class_01,mid,-0.20804,deterministic_synthetic
learner_0090,class_01,mid,-0.18995,deterministic_synthetic
learner_0091,class_01,mid,-0.171859,deterministic_synthetic
learner_0092,class_01,mid,-0.153769,deterministic_synthetic
learner_0093,class_01,mid,-0.135678,deterministic_synthetic
learner_0094,class_01,mid,-0.117588,deterministic_synthetic
learner_0095,class_01,mid,-0.099497,deterministic_synthetic
learner_0096,class_01,mid,-0.081407,deterministic_synthetic
learner_0097,class_01,mid,-0.063317,deterministic_synthetic
learner_0098,class_01,mid,-0.045226,deterministic_synthetic
learner_0099,class_01,mid,-0.027136,deterministic_synthetic
learner_0100,class_01,mid,-0.009045,deterministic_synthetic
learner_0101,class_01,mid,0.009045,deterministic_synthetic
learner_0102,class_01,mid,0.027136,deterministic_synthetic
learner_0103,class_01,mid,0.045226,deterministic_synthetic
learner_0104,class_01,mid,0.063317,deterministic_synthetic
learner_0105,class_01,mid,0.081407,deterministic_synthetic
learner_0106,class_01,mid,0.099497,deterministic_synthetic
learner_0107,class_01,mid,0.117588,deterministic_synthetic
learner_0108,class_01,mid,0.135678,deterministic_synthetic
learner_0109,class_01,mid,0.153769,deterministic_synthetic
learner_0110,class_01,mid,0.171859,deterministic_synthetic
learner_0111,class_01,mid,0.18995,deterministic_synthetic
learner_0112,class_01,mid,0.20804,deterministic_synthetic
learner_0113,class_01,mid,0.226131,deterministic_synthetic
learner_0114,class_01,mid,0.244221,deterministic_synthetic
learner_0115,class_01,mid,0.262312,deterministic_synthetic
learner_0116,class_01,mid,0.280402,deterministic_synthetic
learner_0117,class_01,mid,0.298492,deterministic_synthetic
learner_0118,class_01,mid,0.316583,deterministic_synthetic
learner_0119,class_01,mid,0.334673,deterministic_synthetic
learner_0120,class_01,mid,0.352764,deterministic_synthetic
learner_0121,class_01,mid,0.370854,deterministic_synthetic
learner_0122,class_01,mid,0.388945,deterministic_synthetic
learner_0123,class_01,mid,0.407035,deterministic_synthetic
learner_0124,class_01,mid,0.425126,deterministic_synthetic
learner_0125,class_01,mid,0.443216,deterministic_synthetic
learner_0126,class_01,mid,0.461307,deterministic_synthetic
learner_0127,class_01,mid,0.479397,deterministic_synthetic
learner_0128,class_01,mid,0.497487,deterministic_synthetic
learner_0129,class_01,mid,0.515578,deterministic_synthetic
learner_0130,class_01,mid,0.533668,deterministic_synthetic
learner_0131,class_01,mid,0.551759,deterministic_synthetic
learner_0132,class_01,mid,0.569849,deterministic_synthetic
learner_0133,class_01,mid,0.58794,deterministic_synthetic
learner_0134,class_01,mid,0.60603,deterministic_synthetic
learner_0135,class_01,strong,0.624121,deterministic_synthetic
learner_0136,class_01,strong,0.642211,deterministic_synthetic
learner_0137,class_01,strong,0.660302,deterministic_synthetic
learner_0138,class_01,strong,0.678392,deterministic_synthetic
learner_0139,class_01,strong,0.696482,deterministic_synthetic
learner_0140,class_01,strong,0.714573,deterministic_synthetic
learner_0141,class_01,strong,0.732663,deterministic_synthetic
learner_0142,class_01,strong,0.750754,deterministic_synthetic
learner_0143,class_01,strong,0.768844,deterministic_synthetic
learner_0144,class_01,strong,0.786935,deterministic_synthetic
learner_0145,class_01,strong,0.805025,deterministic_synthetic
learner_0146,class_01,strong,0.823116,deterministic_synthetic
learner_0147,class_01,strong,0.841206,deterministic_synthetic
learner_0148,class_01,strong,0.859296,deterministic_synthetic
learner_0149,class_01,strong,0.877387,deterministic_synthetic
learner_0150,class_01,strong,0.895477,deterministic_synthetic
learner_0151,class_01,strong,0.913568,deterministic_synthetic
learner_0152,class_01,strong,0.931658,deterministic_synthetic
learner_0153,class_01,strong,0.949749,deterministic_synthetic
learner_0154,class_01,strong,0.967839,deterministic_synthetic
learner_0155,class_01,strong,0.98593,deterministic_synthetic
learner_0156,class_01,strong,1.00402,deterministic_synthetic
learner_0157,class_01,strong,1.022111,deterministic_synthetic
learner_0158,class_01,strong,1.040201,deterministic_synthetic
learner_0159,class_01,strong,1.058291,deterministic_synthetic
learner_0160,class_01,strong,1.076382,deterministic_synthetic
learner_0161,class_01,strong,1.094472,deterministic_synthetic
learner_0162,class_01,strong,1.112563,deterministic_synthetic
learner_0163,class_01,strong,1.130653,deterministic_synthetic
learner_0164,class_01,strong,1.148744,deterministic_synthetic
learner_0165,class_01,strong,1.166834,deterministic_synthetic
learner_0166,class_01,strong,1.184925,deterministic_synthetic
learner_0167,class_01,strong,1.203015,deterministic_synthetic
learner_0168,class_01,strong,1.221106,deterministic_synthetic
learner_0169,class_01,strong,1.239196,deterministic_synthetic
learner_0170,class_01,strong,1.257286,deterministic_synthetic
learner_0171,class_01,strong,1.275377,deterministic_synthetic
learner_0172,class_01,strong,1.293467,deterministic_synthetic
learner_0173,class_01,strong,1.311558,deterministic_synthetic
learner_0174,class_01,strong,1.329648,deterministic_synthetic
learner_0175,class_01,strong,1.347739,deterministic_synthetic
learner_0176,class_01,strong,1.365829,deterministic_synthetic
learner_0177,class_01,strong,1.38392,deterministic_synthetic
learner_0178,class_01,strong,1.40201,deterministic_synthetic
learner_0179,class_01,strong,1.420101,deterministic_synthetic
learner_0180,class_01,strong,1.438191,deterministic_synthetic
learner_0181,class_01,strong,1.456281,deterministic_synthetic
learner_0182,class_01,strong,1.474372,deterministic_synthetic
learner_0183,class_01,strong,1.492462,deterministic_synthetic
learner_0184,class_01,strong,1.510553,deterministic_synthetic
learner_0185,class_01,strong,1.528643,deterministic_synthetic
learner_0186,class_01,strong,1.546734,deterministic_synthetic
learner_0187,class_01,strong,1.564824,deterministic_synthetic
learner_0188,class_01,strong,1.582915,deterministic_synthetic
learner_0189,class_01,strong,1.601005,deterministic_synthetic
learner_0190,class_01,strong,1.619095,deterministic_synthetic
learner_0191,class_01,strong,1.637186,deterministic_synthetic
learner_0192,class_01,strong,1.655276,deterministic_synthetic
learner_0193,class_01,strong,1.673367,deterministic_synthetic
learner_0194,class_01,strong,1.691457,deterministic_synthetic
learner_0195,class_01,strong,1.709548,deterministic_synthetic
learner_0196,class_01,strong,1.727638,deterministic_synthetic
learner_0197,class_01,strong,1.745729,deterministic_synthetic
learner_0198,class_01,strong,1.763819,deterministic_synthetic
learner_0199,class_01,strong,1.78191,deterministic_synthetic
learner_0200,class_01,strong,1.8,deterministic_synthetic
